Impact Metrics File
state-of-health,initial value,final value,degradation cost ($)
subfleet-0,100.0,99.91037465538315,5.377520677010921
subfleet-1,100.0,99.97866458458613,1.2801249248323643
subfleet-2,100.0,99.97603096855462,1.4381418867225193
subfleet-3,100.0,99.98164062566488,1.101562460107175
subfleet-4,100.0,99.97859151670846,1.284508997492253
subfleet-5,100.0,99.99324828309038,0.4051030145771506
subfleet-6,100.0,99.97338054866964,1.597167079821702
subfleet-7,100.0,99.9825398734265,1.047607594409783
subfleet-8,100.0,99.93707072584806,3.775756449116443
subfleet-9,100.0,99.98321900157858,1.0068599052854665
subfleet-10,100.0,99.96569342278411,2.0583946329531955
subfleet-11,100.0,99.9775993488681,1.3440390679141956
subfleet-12,100.0,99.98520731051731,0.8875613689613715
subfleet-13,100.0,99.96498496446593,2.100902132044382
subfleet-14,100.0,99.98414211741675,0.9514729549948697
subfleet-15,100.0,99.99109843063482,0.5340941619107298
subfleet-16,100.0,99.8956745622178,6.25952626693163
subfleet-17,100.0,99.94087093983403,3.5477436099583315
subfleet-18,100.0,99.96812650506767,1.9124096959396297
subfleet-19,100.0,99.97293832554858,1.6237004670850297
subfleet-20,100.0,99.96055971618709,2.3664170287744923
subfleet-21,100.0,99.97391686236371,1.5649882581774932
subfleet-22,100.0,99.98087492014196,1.147504791482561
subfleet-23,100.0,99.97625228417675,1.4248629493948783
subfleet-24,100.0,99.98836065641548,0.6983606150711807
subfleet-25,100.0,99.97722402004418,1.3665587973494553
subfleet-26,100.0,99.9815264959847,1.1084102409182606
subfleet-27,100.0,99.96242333699895,2.254599780062847
subfleet-28,100.0,99.96089288327799,2.346427003320457
subfleet-29,100.0,99.99393351972996,0.36398881620215207
subfleet-30,100.0,99.96450685227457,2.129588863525953
subfleet-31,100.0,99.98755070047054,0.7469579717678698
subfleet-32,100.0,99.98234007344581,1.059595593251288
subfleet-33,100.0,99.9805217868951,1.1686927862942298
subfleet-34,100.0,99.99541586571644,0.2750480570136915
subfleet-35,100.0,99.9237119182924,4.577284902456142
subfleet-36,100.0,99.98056079966338,1.1663520201972233
subfleet-37,100.0,99.97913806700961,1.2517159794231247
subfleet-38,100.0,99.9649148438697,2.1051093678175903
subfleet-39,100.0,99.98050299204122,1.1698204775265708
subfleet-40,100.0,99.98693925584432,0.7836446493408289
subfleet-41,100.0,99.98340665477637,0.9956007134175593
subfleet-42,100.0,99.97962845249702,1.222292850178519
subfleet-43,100.0,99.99114524187286,0.5312854876285655
subfleet-44,100.0,99.96923618399053,1.8458289605680989
subfleet-45,100.0,99.97694315417179,1.383410749692473
subfleet-46,100.0,99.98343715945192,0.9937704328845598
subfleet-47,100.0,99.99041038625509,0.5753768246944446
subfleet-48,100.0,99.98460033732607,0.9239797604357136
